country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Papua New Guinea,52,52,53,53,53,53,53,52,53,53,53,53,52,52,52,52,52,52,52,52,53,52,53,53,53,53,53,53,53,52,52,53,53,53,53,53,53,53,53,53,52,52,51,51
Paraguay,20,20,20,19,19,21,20,21,20,21,21,21,21,21,24,45,45,50,53,53,53,53,53,54,54,55,55,56,56,56,56,56,56,57,58,59,58,58,55,57,56,56,54,57
Peru,36,37,37,37,39,44,51,51,51,51,50,51,50,51,50,50,50,47,41,41,41,41,39,39,40,46,60,60,60,60,60,61,61,61,61,61,60,59,61,62,61,61,63,64
Philippines,32,32,32,32,31,31,32,32,32,32,32,52,59,60,60,60,60,61,60,61,61,61,62,62,61,60,61,60,60,61,60,60,60,60,60,62,62,62,63,63,64,62,60,60
Poland,40,39,39,39,40,42,42,36,37,39,42,43,43,44,62,75,75,75,78,78,78,78,78,79,79,79,79,79,79,79,79,79,79,81,81,81,81,81,80,81,80,73,69,68
Portugal,70,76,80,81,82,81,81,81,81,81,82,82,82,82,82,83,83,83,83,83,85,85,85,85,85,85,85,86,86,86,86,86,86,86,86,86,86,87,80,80,80,84,87,86
Qatar,40,40,40,40,40,40,41,41,41,41,41,41,41,41,42,43,43,43,43,44,45,45,45,45,45,46,47,47,47,47,47,46,47,46,47,45,45,46,46,46,46,45,43,46
Romania,36,36,36,36,36,36,37,37,37,37,37,37,37,37,37,62,62,64,65,65,65,66,66,66,66,67,67,67,67,67,69,69,71,71,72,73,72,72,71,72,72,73,65,64
Russia,29,28,29,28,28,29,28,29,29,29,31,35,37,37,37,39,44,56,56,57,57,57,57,57,57,51,51,50,48,48,48,48,48,48,48,48,48,49,47,47,46,45,44,45
Rwanda,46,46,46,48,49,48,48,48,49,49,49,49,49,49,49,49,50,50,50,45,43,44,45,47,49,48,48,48,49,52,53,52,52,53,53,54,54,55,60,59,59,58,56,57
Saudi Arabia,26,26,26,26,26,27,27,27,26,26,26,26,26,27,26,26,28,29,28,29,29,29,29,29,30,30,29,29,29,29,33,33,33,33,33,33,33,33,33,34,33,34,33,34
Senegal,54,56,57,57,58,58,62,62,62,62,62,62,62,62,62,62,63,63,63,63,62,63,63,63,63,64,65,65,66,66,66,66,66,66,66,67,67,67,71,71,71,71,73,73
Serbia,54,54,53,53,53,54,56,56,56,57,57,57,58,58,58,52,53,54,54,54,54,55,54,55,54,63,65,66,66,66,66,67,67,66,66,66,66,66,61,60,60,60,58,58
Sierra Leone,32,32,32,32,31,30,31,31,31,31,31,32,32,32,33,33,29,29,29,29,29,32,33,34,34,35,35,49,51,51,52,52,54,54,54,55,55,54,57,57,57,56,58,64
Singapore,55,55,55,55,55,58,58,58,58,58,58,58,58,58,58,59,59,60,60,60,60,60,60,61,61,62,63,63,63,62,62,62,62,63,63,63,63,63,62,62,62,63,64,64
Slovak Republic,,,,,,,,,,,,,,,,,,,74,71,71,71,71,74,77,78,78,78,78,78,78,78,77,77,77,78,79,79,74,74,74,74,75,72
