country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Portugal,54,53,56,56,57,53,53,53,53,53,55,55,55,55,55,56,57,57,57,57,65,65,65,65,66,66,66,68,68,68,67,67,68,68,71,72,72,77,64,64,69,74,73,73
Qatar,25,25,25,25,25,25,25,25,25,25,25,25,25,25,27,30,31,31,31,31,31,34,34,34,34,37,37,37,37,37,37,34,34,34,34,34,34,34,34,34,34,33,34,39
Romania,61,61,61,61,61,65,65,65,65,65,66,66,66,66,66,54,54,55,55,55,55,58,58,58,58,61,61,61,61,60,60,61,60,60,62,62,62,63,60,60,61,58,61,66
Russia,42,42,42,42,42,42,42,42,42,43,43,43,43,43,42,44,44,50,51,51,51,51,51,51,50,48,48,48,47,48,48,48,49,49,49,49,49,51,50,50,50,49,51,52
Rwanda,32,32,32,32,32,32,32,32,35,35,35,35,35,35,35,41,41,42,44,42,50,50,54,54,55,61,61,61,65,73,77,77,77,77,77,79,79,79,84,78,78,78,75,73
Saudi Arabia,7,7,7,7,7,7,7,7,7,7,7,7,9,9,9,9,13,13,13,13,14,14,14,14,14,14,14,14,12,12,12,12,12,12,12,12,12,13,20,20,20,20,20,20
Senegal,47,47,47,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,49,50,50,52,51,53,58,58,58,58,58,58,60,60,61,61,61,62,66,66,66,66,71,70
Serbia,39,39,39,39,39,39,39,39,39,40,40,39,39,39,39,45,44,48,48,48,48,49,49,49,49,54,54,54,54,54,54,55,56,57,57,57,57,59,54,54,54,54,54,56
Sierra Leone,21,21,20,20,20,20,20,21,21,21,21,28,28,28,28,26,32,35,35,36,36,42,44,45,45,45,46,52,52,54,54,54,54,54,54,54,54,51,63,63,63,63,63,58
Singapore,40,40,40,40,40,40,40,40,40,41,41,41,41,42,42,44,43,43,43,43,43,44,44,44,44,56,57,57,57,57,57,58,58,58,58,57,57,57,57,57,57,57,58,62
